step,total_info,mean_amp,entropy,twist_corr,patterns,up_frac,down_frac,zero_frac
401,44923.80803941013,-0.30779063140636825,9.701154520168242,-0.04842414849246848,1,0.0,0.0,0.0
421,44937.850518774285,-0.3078016506389748,9.701151530736986,-0.05650184344174567,1,0.0,0.0,0.0
441,44954.89323123856,-0.30784146185544,9.701183336082465,-0.06797041538733122,1,0.0,0.0,0.0
461,44973.411604171684,-0.3078118293008842,9.701229415366765,-0.08801633071379242,1,0.0,0.0,0.0
481,44990.71060265001,-0.3078450135994902,9.701236231885876,-0.11184445838294638,1,0.0,0.0,0.0
501,45003.55077497343,-0.30784516830257097,9.701281871228012,-0.14051537790625207,1,0.0,0.0,0.0
521,45020.65867596163,-0.30787546061075993,9.701323965883319,-0.15995809614132545,1,0.0,0.0,0.0
541,45043.84046468924,-0.30792356883761274,9.701447146198404,-0.19017514219236936,1,0.0,0.0,0.0
561,45043.25665250116,-0.3079334686966559,9.701424096551111,-0.19432516169804354,1,0.0,0.0,0.0
581,45057.905604973974,-0.30793369281378397,9.701428768960913,-0.19091891999956387,1,0.0,0.0,0.0
601,45064.868791427856,-0.30789909772392493,9.701436744348092,-0.18301072454688544,1,0.0,0.0,0.0
621,45084.502084726555,-0.30791678465134303,9.701569173955557,-0.1870066410842804,1,0.0,0.0,0.0
641,45095.157073520924,-0.3079360732224611,9.701619456759385,-0.16866947437359875,1,0.0,0.0,0.0
661,45106.01940610593,-0.30796876551904345,9.701671913992822,-0.13682229853387862,1,0.0,0.0,0.0
681,45118.86727184564,-0.3079908367547963,9.701690363083102,-0.09423301012583303,1,0.0,0.0,0.0
701,45119.20027725794,-0.3079945010982141,9.70166643722013,-0.058743079047796645,1,0.0,0.0,0.0
721,45140.740281803,-0.30799109174322,9.701765481227891,-0.027307830863011417,1,0.0,0.0,0.0
741,45160.289900061274,-0.30803788731894804,9.70186350957676,0.00647557952596127,1,0.0,0.0,0.0
761,45175.06935626614,-0.30804805275110175,9.70191315995352,0.0362153315830778,1,0.0,0.0,0.0
781,45175.66752737023,-0.3080634574040501,9.701904132595525,0.06219950761090612,1,0.0,0.0,0.0
801,45181.47817501973,-0.30807187032417466,9.701917193075365,0.08795690783255058,1,0.0,0.0,0.0
821,45191.24585183992,-0.30808207469685844,9.70195796782874,0.11389137004774616,1,0.0,0.0,0.0
841,45202.72892658107,-0.30810425951657194,9.702012384664451,0.13451564004515065,1,0.0,0.0,0.0
861,45194.4194287926,-0.30808629240320995,9.70194560175774,0.15418043810761656,1,0.0,0.0,0.0
881,45204.21304789211,-0.30810804381953844,9.701986758086267,0.17439595924811768,1,0.0,0.0,0.0
901,45214.7729234577,-0.3081473580860581,9.702037048373821,0.19316882042474165,1,0.0,0.0,0.0
921,45219.35174317664,-0.30815880453177663,9.70204599899552,0.20684456470518708,1,0.0,0.0,0.0
941,45225.69979079181,-0.3081521291439885,9.70205665327764,0.2233476543643707,1,0.0,0.0,0.0
961,45234.59482552829,-0.3081628071384338,9.702083438642173,0.2356108876910782,1,0.0,0.0,0.0
981,45231.6099247626,-0.3081649852084668,9.702059427464622,0.2473975831800126,1,0.0,0.0,0.0
1001,45232.84630309802,-0.3081588348149713,9.702057174091188,0.26108194791033346,1,0.0,0.0,0.0
1021,45248.8234818117,-0.3081845492255391,9.702128143800284,0.2716792337890346,1,0.0,0.0,0.0
1041,45255.71715427344,-0.30817507957829193,9.702164040534633,0.28087907849247096,1,0.0,0.0,0.0
1061,45260.40356303018,-0.3082189288888181,9.702179428310982,0.2935132931649618,1,0.0,0.0,0.0
1081,45266.453983379775,-0.3082033138061313,9.70221086097295,0.30162199626580066,1,0.0,0.0,0.0
1101,45273.28106781863,-0.3082036315318029,9.70223142849754,0.3108974154478102,1,0.0,0.0,0.0
1121,45271.7664381095,-0.30820289025995445,9.702214282240394,0.31721286464117904,1,0.0,0.0,0.0
1141,45275.81426141824,-0.30823332703493006,9.702225946807268,0.32460872940127394,1,0.0,0.0,0.0
1161,45278.83997457388,-0.3082394799785069,9.7022302410885,0.33476113042047795,1,0.0,0.0,0.0
1181,45286.49666211356,-0.30824817627488843,9.702251978694926,0.34014340149411715,1,0.0,0.0,0.0
1201,45293.100532429184,-0.30824684849074613,9.702281279126947,0.345543538921659,1,0.0,0.0,0.0
