i,j,weight
32,59,0.20575283170852024
32,60,0.24053709738758616
32,61,0.2144450215823204
32,62,0.2485700074942823
32,63,0.21859465454787524
33,48,0.049758322258636946
33,49,0.04882349143195823
33,50,0.0559221580154564
33,51,0.1366302808454766
33,52,0.13105220103079687
33,53,0.15822952326128809
33,54,0.17048034087895958
33,55,0.15827339194511358
33,56,0.18792644999253094
33,57,0.17156696095916799
33,58,0.1596187561578676
33,59,0.1781197506308867
33,60,0.2083674315247659
33,61,0.18571618549556382
33,62,0.21538856950637478
33,63,0.18934274855374014
34,51,0.06128178711157889
34,52,0.11766526988977269
34,53,0.14221675332680445
34,54,0.15336396638041325
34,55,0.142454177120488
34,56,0.16923868622798124
34,57,0.15455758281667503
34,58,0.1437803590862841
34,59,0.16051964253989795
34,60,0.09391943947642421
34,61,0.08371565474699863
34,62,0.09711391318819952
34,63,0.0853654898459284
35,49,0.04818515076791472
35,50,0.05522213120580378
35,51,0.13504697053665177
35,52,0.12964387094400528
35,53,0.15664529749676895
35,54,0.16889559104743426
35,55,0.15686967867140647
35,56,0.18634094763871484
35,57,0.17017081509575296
35,58,0.15831225693526985
35,59,0.17672280456292416
35,60,0.20678103791769045
35,61,0.18431830805681312
35,62,0.21380186732908685
35,63,0.18794442505264672
36,46,0.04465111591189766
36,47,0.0558436919311712
36,48,0.05610194470752666
36,49,0.055108487209953136
36,50,0.06315622795259918
36,51,0.15441272417561103
36,52,0.1482945556620457
36,53,0.17911087476748305
36,54,0.193135823989533
36,55,0.17944600088725693
36,56,0.21311016534391664
36,57,0.194654954706588
36,58,0.18113358025667708
36,59,0.20214653543202654
36,60,0.2365126351137364
36,61,0.210833743338712
36,62,0.2445508033283037
36,63,0.21498532801055778
37,51,0.12974137692642684
37,52,0.12496516626992968
37,53,0.15133664297454216
37,54,0.16358518425800453
37,55,0.15219673298067374
37,56,0.18102802472040475
37,57,0.1654924678762934
37,58,0.1540204088306938
37,59,0.17204178178448687
37,60,0.2014651350104901
37,61,0.17963417115276759
37,62,0.20848493268843143
37,63,0.18325879669730913
38,46,0.04133558836098325
38,47,0.052049649044340174
38,48,0.052766181116440915
38,49,0.05205594667379826
38,50,0.05980931552514429
38,51,0.1468113424502439
38,52,0.14156734724930434
38,53,0.1715429132833693
38,54,0.18556997313525833
38,55,0.17275086215882887
38,56,0.2055451063397199
38,57,0.18797564953956042
38,58,0.17497498566883402
38,59,0.19547507316087143
38,60,0.22894851394084612
38,61,0.20416879266837779
38,62,0.23698700685190355
38,63,0.20831915822293334
39,48,0.04990926173084587
39,49,0.049441627325122445
39,50,0.05694289048230644
39,51,0.14033007459719102
39,52,0.1358745398789342
39,53,0.1650624667524652
39,54,0.179089996783132
39,55,0.16705043010551152
39,56,0.19906580513028876
39,57,0.18227145299999412
39,58,0.169752487681896
39,59,0.1897690119445647
39,60,0.22247001233979202
39,61,0.19846056112518318
