frequency,power
6514887992365.622,0.0
6628430474783.962,0.0
6743951793266.533,0.0
6861486435276.433,0.0
6981069489329.548,0.0
7102736655470.003,0.0
7226524255927.73,0.0
7352469245962.232,0.0
7480609224895.028,0.0
7610982447334.375,0.0
7743627834595.927,0.0
7878584986321.956,0.0
8015894192303.568,0.0
8155596444508.586,0.0
8297733449319.266,0.0
8442347639983.088,0.0
8589482189280.912,0.0
8739181022415.408,0.0
8891488830124.623,0.0
9046451082023.746,0.0
9204114040179.39,0.0
9364524772920.822,0.0
9527731168891.32,0.0
9693781951345.02,0.0
9862726692692.469,0.0
10034615829299.953,0.0
10209500676546.48,0.0
10387433444143.635,0.0
10568467251721.822,0.0
10752656144688.762,0.0
10940055110363.957,0.0
11130720094394.348,0.0
11324708017456.496,0.0
11522076792249.2,0.0
11722885340782.922,0.0
11927193611970.059,0.0
12135062599522.037,0.0
12346554360158.03,0.0
12561732032131.576,0.0
12780659854079.334,0.0
13003403184199.068,0.0
13230028519761.4,0.0
13460603516961.574,0.0
13695197011117.758,0.0
13933879037220.545,0.0
14176720850841.414,0.0
14423794949404.988,0.0
14675175093832.348,0.0
14930936330561.223,0.0
15191155013950.58,0.0
15455908829074.799,0.0
15725276814916.021,0.0
15999339387960.08,0.0
16278178366203.646,0.0
16561876993580.447,0.0
16850519964812.176,0.0
17144193450693.527,0.0
17442985123817.162,0.0
17746984184747.402,0.0
18056281388649.684,0.0
18370969072384.89,0.0
18691141182074.797,0.0
19016893301149.04,0.0
19348322678880.16,0.0
19685528259415.926,0.0
20028610711318.434,0.0
20377672457616.836,0.0
20732817706385.04,0.0
21094152481851.39,0.0
21461784656051.105,0.0
21835823981029.746,0.0
22216382121608.977,0.0
22603572688722.008,0.0
22997511273331.348,0.0
23398315480936.81,0.0
23806104966684.875,0.0
24221001471090.953,0.0
24643128856382.707,0.0
25072613143478.29,0.0
25509582549607.945,0.0
25954167526591.875,0.0
26406500799784.598,0.0
26866717407699.21,0.0
27334954742320.605,0.0
27811352590122.91,0.0
28296053173800.7,0.0
28789201194727.473,0.0
29290943876155.254,0.0
29801431007165.363,0.0
30320814987386.918,0.0
30849250872493.367,0.0
31386896420492.73,0.0
31933912138823.758,0.0
32490461332274.36,0.0
33056710151733.184,0.0
33632827643792.855,0.0
34218985801216.324,0.0
34815359614282.793,0.0
35422127123029.71,0.0
36039469470404.03,0.0
36667570956339.76,0.0
37306619092779.27,0.0
37956804659652.32,0.0
38618321761830.47,0.0
39291367887075.875,0.0
39976143964997.51,0.0
40672854427037.33,0.0
41381707267500.336,0.0
42102914105648.13,0.0
42836690248876.29,0.0
43583254756991.18,0.0
44342830507607.09,0.0
45115644262684.6,0.0
45901926736227.04,0.0
46701912663156.77,0.0
47515840869393.695,0.0
48343954343152.25,0.0
49186500307483.9,0.0
50043730294081.766,0.0
50915900218372.68,0.0
51803270455916.76,0.0
52706105920140.766,0.0
53624676141423.08,0.0
54559255347560.11,0.0
55510122545633.016,0.0
56477561605301.16,0.0
57461861343549.414,0.0
58463315610909.12,0.0
59482223379185.14,0.0
60518888830709.28,0.0
61573621449150.64,0.0
62646736111907.125,0.0
63738553184110.0,0.0
64849398614262.89,0.0
65979604031551.46,0.0
67129506844846.49,0.0
68299450343432.29,0.0
69489783799493.35,0.0
70700862572383.1,0.0
71933048214713.9,0.0
73186708580293.12,0.0
74462217933941.84,0.0
75759957063225.83,0.0
77080313392137.03,0.0
78423681096751.86,0.0
79790461222909.66,0.0
81181061805939.19,0.0
82595897992471.39,0.0
84035392164378.73,0.0
85499974064869.34,0.0
86990080926783.92,0.0
88506157603124.89,0.0
90048656699862.4,0.0
91618038711052.86,0.0
93214772156316.25,0.0
94839333720703.95,0.0
96492208397009.78,0.0
98173889630557.55,0.0
99884879466511.75,0.0
101625688699759.84,0.0
103396837027400.44,0.0
105198853203895.39,0.0
107032275198921.23,0.0
108897650357974.2,0.0
110795535565772.25,0.0
112726497412506.84,0.0
114691112362992.44,0.0
116689966928761.64,0.0
118723657843161.33,0.0
120792792239500.6,0.0
122897987832301.4,0.0
125039873101710.56,0.0
127219087481125.73,0.0
129436281548088.97,0.0
131692117218509.48,0.0
133987267944269.05,0.0
136322418914273.6,0.0
138698267259009.17,0.0
141115522258659.9,0.0
143574905554855.44,0.0
146077151366108.66,0.0
148623006707005.94,0.0
151213231611220.1,0.0
153848599358410.34,0.0
156529896705073.62,0.0
159257924119422.34,0.0
162033496020352.2,0.0
164857441020578.16,0.0
167730602174008.0,0.0
170653837227423.66,0.0
173628018876551.47,0.0
176654035026595.6,0.0
179732789057308.8,0.0
182865200092686.97,0.0
186052203275363.47,0.0
189294750045782.44,0.0
192593808426240.97,0.0
195950363309877.2,0.0
199365416754703.28,0.0
202839988282751.38,0.0
206375115184444.72,0.0
209971852828264.78,0.0
213631274975820.12,0.0
217354474102402.2,0.0
221142561723131.7,0.0
224996668724789.9,0.0
228917945703428.1,0.0
232907563307865.56,0.0
236966712589168.78,0.0
241096605356231.4,0.0
245298474537537.38,0.0
249573574549243.12,0.0
253923181669664.28,0.0
258348594420294.7,0.0
262851133953460.94,0.0
267432144446738.0,0.0
272092993504239.12,0.0
276835072564893.97,0.0
281659797317847.6,0.0
286568608125092.6,0.0
291562970451479.2,0.0
296644375302202.56,0.0
301814339667932.2,0.0
307074406977685.8,0.0
312426147559604.0,0.0
317871159109747.9,0.0
323411067169074.44,0.0
329047525608724.06,0.0
334782217123759.75,0.0
340616853735517.4,0.0
346553177302703.06,0.0
352592960041413.5,0.0
358738005054197.5,0.0
364990146868360.4,0.0
371351251983633.44,0.0
377823219429397.6,0.0
384407981331610.5,0.0
391107503489621.6,0.0
397923785963040.9,0.0
404858863668826.94,0.0
411914806988789.7,0.0
419093722387670.75,0.0
426397753042013.8,0.0
433829079479970.44,0.0
441389920232281.4,0.0
449082532494585.0,0.0
456909212801278.56,0.0
464872297711114.7,0.0
472974164504755.7,0.0
481217231894485.4,0.0
489603960746279.8,0.0
498136854814472.7,0.0
506818461489211.8,0.0
515651372556965.7,0.0
524638224974252.25,0.0
533781701654884.8,0.0
543084532270914.25,0.0
552549494067543.25,0.0
562179412692231.9,0.0
571977163038264.0,0.0
581945670103015.9,0.0
592087909861171.4,0.0
602406910153167.1,0.0
612905751589106.5,0.0
623587568468456.0,0.0
634455549715730.9,0.0
645512939832526.9,0.0
656763039866116.6,0.0
668209208394941.1,0.0
679854862531264.1,0.0
691703478941313.8,0.0
703758594883204.5,0.0
716023809262932.8,0.0
728502783708792.5,0.0
741199243664496.6,0.0
754116979501383.1,0.0
767259847649959.9,0.0
780631771751215.5,0.0
794236743827961.1,0.0
808078825476607.0,0.0
822162149079691.2,0.0
836490919039558.0,0.0
851069413033537.4,0.0
865901983290982.4,0.0
880993057892580.5,0.0
896347142092288.5,0.0
911968819662344.9,0.0
927862754261669.8,0.0
944033690828168.4,0.0
960486456995259.0,0.0
977225964533110.8,0.0
994257210814980.2,0.0
1011585280309123.0,0.0
