time,from_topo,to_topo,gradient
390.0500000000544,sphere,klein_bottle,0.9796127860232375
390.0500000000544,klein_bottle,sphere,0.013658919709500563
390.0500000000544,sphere,klein_bottle,0.9794228832351783
390.0500000000544,klein_bottle,sphere,0.013891627549738982
390.0500000000544,sphere,klein_bottle,0.9792327939021408
390.0500000000544,klein_bottle,sphere,0.014124326972505102
390.0500000000544,sphere,klein_bottle,0.9790427045691031
390.0500000000544,klein_bottle,sphere,0.014357018213265373
390.0500000000544,sphere,klein_bottle,0.9788527085085548
390.0500000000544,klein_bottle,sphere,0.014584020560864707
390.0500000000544,sphere,klein_bottle,0.9786627124480064
390.0500000000544,klein_bottle,sphere,0.014816695667224105
390.0500000000544,sphere,klein_bottle,0.9784728096599472
390.0500000000544,klein_bottle,sphere,0.015043680693534843
390.0500000000544,sphere,klein_bottle,0.9782827203269097
