time,h_plus,h_cross
0.459,-1.8250079717963301e-32,-3.351751885848211e-32
0.46,-3.319805236971499e-32,-1.8695772695708833e-32
0.461,-3.7996021923143864e-32,1.7646991007779244e-33
0.462,-3.12180189953459e-32,2.162018634695256e-32
0.463,-1.4964722687102841e-32,3.483181860806069e-32
0.464,5.787391267617085e-33,3.740216476121929e-32
0.465,2.4709676103940725e-32,2.8584628088493987e-32
0.466,3.6051257268246285e-32,1.1099774677405379e-32
0.467,3.63867703463305e-32,-9.703916459821379e-33
0.468,2.5650763806837e-32,-2.7486033304003887e-32
0.46900000000000003,7.146431076659694e-33,-3.6846554767594256e-32
0.47000000000000003,7.344884847993479e-33,-3.6743771708118156e-32
0.47100000000000003,-1.3248191771416113e-32,-3.498378375109592e-32
0.47200000000000003,-2.974207568627958e-32,-2.2586097743793606e-32
0.47300000000000003,-3.713226713714181e-32,-3.358017015539168e-33
0.47400000000000003,-3.3200650694560135e-32,1.6827728410079718e-32
0.47500000000000003,-1.918106782621389e-32,3.182658935485533e-32
0.47600000000000003,6.2755752073163185e-34,3.7092535234781625e-32
0.47700000000000004,2.0179334353853962e-32,3.1055830386103965e-32
0.47800000000000004,3.3526635341622544e-32,1.5590709950098515e-32
0.47900000000000004,3.6629291005539977e-32,-4.5663029606215125e-33
0.48,2.857743350004696e-32,-2.3266974117654998e-32
0.481,1.1857900141148669e-32,-3.482661038880002e-32
0.482,1.2036892879710621e-32,-3.470031170687303e-32
0.483,-8.195303789953281e-33,-3.5739981019139454e-32
0.484,-2.5866812113561036e-32,-2.590256825590018e-32
0.485,-3.560972909095177e-32,-8.217229353152516e-33
0.486,-3.4486229641273647e-32,1.1909287218361194e-32
0.487,-2.2874291166726283e-32,2.834551540626114e-32
0.488,-4.34166247681162e-33,3.610313603015179e-32
0.489,1.5450212009271045e-32,3.285083148834504e-32
0.49,3.0475611808079486e-32,1.961472979820323e-32
0.491,3.6179033054527167e-32,4.55039957449519e-34
0.492,3.085627396420049e-32,-1.877933308338063e-32
0.493,1.6163436980176733e-32,-3.223622645993553e-32
0.494,-3.398110392197591e-33,-3.5840707076946573e-32
0.495,-2.1860711455175082e-32,-2.8528925329810947e-32
0.496,-3.3610914789686527e-32,-1.2561763165526356e-32
0.497,-3.50961462036923e-32,7.174086351278415e-33
0.498,-2.58986947415361e-32,2.4661597036286183e-32
0.499,-8.852365974741766e-33,3.458780636488999e-32
0.5,1.0830502521728793e-32,3.395790166567335e-32
0.501,2.715277118595936e-32,2.2998655205359178e-32
0.502,3.5159695039190885e-32,5.0787096818010175e-33
0.503,3.244289897431409e-32,-1.4326761622190802e-32
0.504,1.9864634125107525e-32,-2.930884549435402e-32
0.505,1.2845604615032867e-33,-3.5324074896493687e-32
0.506,-1.7624500657198044e-32,-3.0572200965523917e-32
0.507,-3.110851381955789e-32,-1.6534776446475333e-32
0.508,-3.5083122121456533e-32,2.4865167910633694e-33
0.509,-2.837072591849389e-32,2.0688007112630466e-32
0.51,-1.304908566208198e-32,3.253475516307336e-32
0.511,6.191654334022872e-33,3.444362354154056e-32
0.512,2.348460071924163e-32,2.5866924417779087e-32
0.513,3.357498555440277e-32,9.44894814342196e-33
0.514,3.3416853187889903e-32,-9.789164550854905e-33
0.515,2.3092419062121554e-32,-2.5984976763922346e-32
0.516,5.776646401722774e-33,-3.4221157716305424e-32
0.517,-1.3239004629962088e-32,-3.201839880297335e-32
0.518,-2.816350740781482e-32,-2.0081611507240224e-32
0.519,-2.800143883836419e-32,-2.020871475149073e-32
0.52,-3.4399990918497167e-32,-2.26827294000165e-33
0.521,-3.031130969872465e-32,1.6302572057358947e-32
0.522,-1.7014245148124834e-32,2.9851681511480805e-32
0.523,1.4150266502736347e-33,3.4273551321111026e-32
0.524,1.9352458524441658e-32,2.825323410547938e-32
0.525,3.1342357539598187e-32,1.3657115753610543e-32
0.526,3.3756678578138105e-32,-5.0455053320256244e-33
0.527,2.589274795147726e-32,-2.2150830823437465e-32
0.528,1.017731161740938e-32,-3.2460008655367877e-32
0.529,-8.582198184475629e-33,-3.285916458349332e-32
0.53,-2.466821069422761e-32,-2.3259836809795918e-32
0.531,-3.319557357467206e-32,-6.615821904915821e-33
0.532,-3.159505391378834e-32,1.1985619714910484e-32
0.533,-2.038730126892993e-32,2.6878624479120526e-32
0.534,-3.0141614664925618e-33,3.354444780172669e-32
0.535,1.5218200393425667e-32,2.9982441006643713e-32
0.536,2.8759865088359794e-32,1.731035406526087e-32
0.537,3.3506491905233847e-32,-5.861088407553318e-34
0.538,2.804322307375147e-32,-1.8244696947720116e-32
0.539,1.4066193657178427e-32,-3.0293708313254174e-32
0.54,-4.14385758411076e-33,-3.308598868372193e-32
0.541,-2.1032571990028777e-32,-2.5802812012938584e-32
0.542,-3.1466081469069384e-32,-1.0693559348620134e-32
0.543,-3.2291550218165614e-32,7.618848548130169e-33
0.544,-2.328980901957726e-32,2.355233894282176e-32
0.545,-7.232273229834086e-33,3.2267182914692855e-32
0.546,1.0972191661927406e-32,3.1135976372753667e-32
0.547,2.577786866661024e-32,2.053564598715477e-32
0.548,3.269155157193959e-32,3.7227743014115646e-33
0.549,2.963606684401091e-32,-1.4166774055401768e-32
0.55,1.7574198125667492e-32,-2.7686654666669966e-32
0.551,2.056501835758382e-34,-3.273808614751756e-32
0.552,-1.716766651585525e-32,-2.7812389368450356e-32
0.553,-2.9260034259945107e-32,-1.4441372511371735e-32
0.554,-3.241001433844378e-32,3.278828213440531e-33
0.555,-2.568900717399695e-32,1.9942500944627696e-32
0.556,-2.5759721665945903e-32,1.9762226956591185e-32
0.557,-1.1330010091729593e-32,3.0368271260025326e-32
0.558,6.49875346574453e-33,3.1699701231377e-32
0.559,2.2290989547774963e-32,2.338230315908066e-32
0.56,3.1248805403155105e-32,7.97869249846191e-33
0.561,3.066959593834444e-32,-9.80111587314379e-33
0.562,2.0761318466603835e-32,-2.4539840584711542e-32
0.5630000000000001,4.5695375258338884e-33,-3.176345479669144e-32
0.5640000000000001,-1.2958608328312844e-32,-2.9299236502836484e-32
0.5650000000000001,-2.648586450495331e-32,-1.792914472711296e-32
0.5660000000000001,-3.190997844480187e-32,-1.1420817910688702e-33
0.5670000000000001,-2.760766950138882e-32,1.593658728108902e-32
0.5680000000000001,-1.4920250470419545e-32,2.8109834583710166e-32
0.5690000000000001,2.264322336421648e-33,3.169036473161653e-32
