alpha,rigidity_min,collapse_generation
0.3313939899833055,0.017556232840482758,301.0
0.33221202003338896,0.010125882559863386,301.0
0.3330300500834724,0.002732034990099836,301.0
0.3338480801335559,0.004625578197274076,301.0
0.3346661101836394,0.011947222707205572,301.0
0.33548414023372286,0.006468305302627791,301.0
0.3363021702838063,0.02648365558837398,301.0
0.3371202003338898,0.0336989625374499,301.0
0.33793823038397325,0.04087933802642902,301.0
0.33875626043405677,0.04802503511322463,301.0
0.33957429048414023,0.05513630441729583,301.0
0.3403923205342237,0.06221339414894925,301.0
0.34121035058430715,0.06925655013821932,301.0
0.3420283806343906,0.07626601586333084,301.0
0.3428464106844741,0.012990762124749103,301.0
0.3436644407345576,0.08116802771591058,301.0
0.34448247078464106,0.07560975609737867,301.0
0.3453005008347245,0.10397176493340086,301.0
0.346118530884808,0.02337938363445177,301.0
0.34693656093489145,0.005303957568372203,301.0
0.3477545909849749,0.036617100371761226,301.0
0.3485726210350584,0.03602305475349678,301.0
0.3493906510851419,0.04726027397231282,301.0
0.35020868113522535,0.08244023083261881,301.0
0.3510267111853088,0.15121394430837218,301.0
0.3518447412353923,0.02060008956562676,301.0
0.3526627712854758,0.07545914293318538,301.0
0.35348080133555926,0.15177461676562654,301.0
0.3542988313856427,0.17752385439981122,301.0
0.3551168614357262,0.18402557412500303,301.0
0.35593489148580965,0.009290953545013277,301.0
0.3567529215358931,0.07209789438871947,301.0
0.3575709515859766,0.08242452072092069,301.0
0.3583889816360601,0.19374999999856687,301.0
0.35920701168614355,0.15605590062097152,301.0
0.360025041736227,0.015515101365288917,301.0
0.3608430717863105,0.1555880204522967,301.0
0.36166110183639394,0.08874375720326053,301.0
0.36247913188647746,0.12708333333333421,301.0
0.3632971619365609,0.0398537803138343,301.0
0.3641151919866444,0.05703697008044367,301.0
0.36493322203672784,0.15047988025005743,301.0
0.3657512520868113,0.15288753799394839,301.0
0.3665692821368948,0.0830367734282084,301.0
0.3673873121869783,0.09150579150568748,301.0
0.36820534223706175,0.0753992628992556,301.0
0.3690233722871452,0.1510835913313149,301.0
0.3698414023372287,0.11046171829336834,301.0
0.37065943238731214,0.1835132482825802,301.0
0.37147746243739566,0.05724657916779988,301.0
0.3722954924874791,0.05772811917811667,301.0
0.3731135225375626,0.09236725663696639,301.0
0.37393155258764604,0.06557796990073798,301.0
0.3747495826377295,0.01586776859504315,301.0
0.375567612687813,0.035838988075630906,301.0
0.3763856427378965,0.08582692431978149,301.0
0.37720367278797995,0.12931798051307217,301.0
0.3780217028380634,0.16824794433891296,301.0
0.3788397328881469,0.012195121946405707,301.0
0.37965776293823034,0.24008350730891131,301.0
0.38047579298831385,0.18597797425157928,301.0
0.3812938230383973,0.021640091115961387,301.0
0.3821118530884808,0.029531568227692793,301.0
0.38292988313856424,0.10476190476187079,301.0
0.3837479131886477,0.13877760657421798,301.0
0.38456594323873117,0.008328826392647551,301.0
0.3853839732888147,0.12027733118970439,301.0
0.38620200333889815,0.09976525821512341,301.0
0.3870200333889816,0.07071960297767149,301.0
0.3878380634390651,0.17689792953126557,301.0
0.38865609348914854,0.07387785136129303,301.0
0.38947412353923205,0.003961965134198528,301.0
0.3902921535893155,0.07832121612681323,301.0
0.391110183639399,0.046728971962063846,301.0
0.39192821368948244,0.18672279292500205,301.0
0.3927462437395659,0.08561565017261642,301.0
0.39356427378964937,0.15116461454003688,301.0
0.3943823038397329,0.07824100513972328,301.0
0.39520033388981635,0.11449621664675354,301.0
0.3960183639398998,0.0957293088223489,301.0
0.39683639398998327,0.041961577350622684,301.0
0.39765442404006673,0.05729548976429405,301.0
0.3984724540901502,0.03761407547480136,301.0
0.3992904841402337,0.017612929962701675,301.0
0.4001085141903172,0.0027084461852569883,301.0
0.40092654424040064,0.02284608735026373,301.0
0.4017445742904841,0.04250213527473805,301.0
0.40256260434056756,0.06169366183031064,301.0
0.4033806343906511,0.08043694141012851,301.0
0.40419866444073455,0.0987474969570856,301.0
0.405016694490818,0.0929705215415934,301.0
0.40583472454090147,0.13412902483017855,301.0
0.40665275459098493,0.1512276573944059,301.0
0.4074707846410684,0.04581005586583738,301.0
0.4082888146911519,0.13161465400144365,301.0
0.4091068447412354,0.00769935838677349,301.0
0.40992487479131884,0.21596977512987223,301.0
0.4107429048414023,0.08446986361616324,301.0
0.41156093489148576,0.05653950953678708,301.0
0.4123789649415693,0.07274180655399472,301.0
0.41319699499165274,0.18843683083217092,301.0
0.4140150250417362,0.05577172503054523,301.0
0.41483305509181967,0.22879958336950326,301.0
0.41565108514190313,0.13474850023073562,301.0
0.4164691151919866,0.02798305251749372,301.0
0.4172871452420701,0.08614196040559774,301.0
0.4181051752921536,0.0867992766704258,301.0
0.41892320534223704,0.02315661182168172,301.0
0.4197412353923205,0.07419354838705602,301.0
0.42055926544240396,0.016918967052179434,301.0
0.4213772954924874,0.10912581216771991,301.0
0.42219532554257094,0.05280407865989005,301.0
0.4230133555926544,0.04248015447327221,301.0
0.42383138564273787,0.1944444444438599,301.0
0.42464941569282133,0.04226190476185802,301.0
0.4254674457429048,0.13945447560498325,301.0
0.4262854757929883,0.10853810440493608,301.0
0.4271035058430718,0.07047978930493504,301.0
0.42792153589315524,0.03155761436016133,301.0
0.4287395659432387,0.008190531513213636,301.0
0.42955759599332216,0.04670996893532671,301.0
0.4303756260434056,0.02512886597944099,301.0
0.43119365609348914,0.011754068715202605,301.0
0.4320116861435726,0.15045632333767747,301.0
0.43282971619365607,0.0270718232043131,301.0
0.43364774624373953,0.2112130984867277,301.0
0.434465776293823,0.15010316368638119,301.0
0.43528380634390645,0.07065948855997685,301.0
0.43610183639398997,0.1937172774856673,301.0
0.43691986644407343,0.1370639714039242,301.0
0.4377378964941569,0.05932093144267721,301.0
0.43855592654424036,0.12038244241634834,301.0
0.4393739565943238,0.0842666666666738,301.0
0.44019198664440734,0.026086956519859667,301.0
0.4410100166944908,0.183094788009688,301.0
0.44182804674457427,0.059198865650431406,301.0
0.44264607679465773,0.08017077798840307,301.0
0.4434641068447412,0.07803041488262266,301.0
0.44428213689482465,0.013108614232214155,301.0
0.44510016694490817,0.05100642089314892,301.0
0.44591819699499163,0.1092321440846865,301.0
0.4467362270450751,0.06651376146258473,301.0
0.44755425709515856,0.03664302600263965,301.0
0.448372287145242,0.07910271546625261,301.0
0.44919031719532554,0.22622786315574306,301.0
0.450008347245409,0.003333888981474943,301.0
0.45082637729549246,0.09432146294395007,301.0
0.4516444073455759,0.029695431472045043,301.0
0.4524624373956594,0.1299524564182451,301.0
0.45328046744574285,0.14891906378417386,301.0
0.45409849749582637,0.05355519185306066,301.0
0.45491652754590983,0.04330883004162754,301.0
0.4557345575959933,0.1287275117062288,301.0
0.45655258764607676,0.06427221172004524,301.0
0.4573706176961602,0.10157068062655537,301.0
0.4581886477462437,0.07973931378187489,301.0
0.4590066777963272,0.0353761833581054,301.0
0.45982470784641066,0.15465729349353044,301.0
0.4606427378964941,0.14793213149523307,301.0
0.4614607679465776,0.013103747021873221,301.0
0.46227879799666105,0.11313904425472415,301.0
0.46309682804674457,0.15937561960381408,301.0
0.46391485809682803,0.024919614147691047,301.0
0.4647328881469115,0.13636363635927468,301.0
0.46555091819699496,0.10451094238476277,301.0
0.4663689482470784,0.058098591545799154,301.0
0.4671869782971619,0.10628623394337407,301.0
0.4680050083472454,0.13672927033727497,301.0
0.46882303839732886,0.07225806451605328,301.0
0.4696410684474123,0.12928567619927853,301.0
0.4704590984974958,0.03715738909296564,301.0
0.47127712854757925,0.09479686386240377,301.0
