topology,n_meridians,n_longitudes,level,eigenvalue,scaled_eigenvalue,gap,ratio
klein,64,64,0,0.0024090875896553275,0.999799218511644,,
klein,64,64,1,0.009630546655606325,3.9967882701569657,0.007221459065950998,
klein,64,64,2,0.012039634245261544,4.996587488668565,0.0024090875896552195,0.33360122485690025
klein,64,64,3,0.01926109331121255,7.99357654031389,0.007221459065951005,2.997590912410335
klein,64,64,4,0.02164698007043816,8.983747145805378,0.0023858867592256097,0.3303884626965491
klein,64,64,5,0.03127752672604446,12.980535415962333,0.009630546655606302,4.036464269885173
klein,64,64,6,0.03842943919353927,15.948661824719446,0.00715191246749481,0.7426278822221803
klein,64,64,7,0.040838526783194364,16.948461043230992,0.002409087589655093,0.3368452285461142
klein,64,64,8,0.048059985849145434,19.945450094876342,0.0072214590659510705,2.9975909124105202
klein,64,64,9,0.05993749361091205,24.874753217383088,0.011877507761766617,1.6447517950726405
klein,64,64,10,0.06007641926397726,24.932408970524754,0.0001389256530652111,0.011696532290419467
klein,64,64,11,0.0695680402665184,28.871541487540064,0.00949162100254114,68.32158635299568
klein,64,64,12,0.07685887838707842,31.89732364943884,0.007290838120560014,0.7681341383740541
klein,64,64,13,0.08611932853558234,35.74051758779826,0.009260450148503921,1.2701489177752612
klein,64,64,14,0.08852841612523765,36.7403168063099,0.002409087589655315,0.2601480004775488
klein,64,64,15,0.09574987519118858,39.737305857955185,0.007221459065950925,2.997590912410183
klein,64,64,16,0.09836693280445108,40.82341504210243,0.0026170576132625023,0.36240011739482
klein,64,64,17,0.10776630860602032,44.72426473360356,0.009399375801569243,3.591581535666576
klein,64,64,18,0.11691186963395846,48.51977835786797,0.009145561027938134,0.9729966352032936
klein,64,64,19,0.1245487677291214,51.68917941251762,0.00763689809516295,0.8350387769359938
klein,64,64,20,0.1265424162895647,52.5165666280249,0.0019936485604432896,0.2610547549018658
torus,64,64,0,9.817747133387782e-17,4.074478634008653e-14,,
torus,64,64,1,0.009630546655606321,3.9967882701569644,0.009630546655606222,
torus,64,64,2,0.019261093311212552,7.993576540313891,0.009630546655606231,1.0000000000000009
torus,64,64,3,0.038429439193539215,15.948661824719423,0.019168345882326663,1.9903694533443947
torus,64,64,4,0.04805998584914545,19.94545009487635,0.009630546655606233,0.5024192861881556
torus,64,64,5,0.07685887838707837,31.89732364943882,0.028798892537932927,2.9903694533443974
torus,64,64,6,0.08611932853558238,35.74051758779827,0.009260450148504004,0.3215557728932268
torus,64,64,7,0.09574987519118852,39.737305857955164,0.009630546655606143,1.0399652825907093
torus,64,64,8,0.12454876772912152,51.68917941251767,0.028798892537932996,2.990369453344433
klein,128,128,0,0.0006023626075916601,0.9999498016042524,,
klein,128,128,1,0.0024090875896553127,3.9991968740465516,0.0018067249820636526,
klein,128,128,2,0.003011450197246879,4.999146675650649,0.0006023626075915664,0.3334002759532024
klein,128,128,3,0.004818175179310525,7.998393748092936,0.0018067249820636457,2.9993976373923603
klein,128,128,4,0.005419086642619672,8.995934583039713,0.0006009114633091471,0.33259708548601824
klein,128,128,5,0.007828174232274882,12.995131457086094,0.00240908758965521,4.009055803975937
klein,128,128,6,0.009630546655606332,15.987153080627873,0.0018023724233314498,0.7481556216847252
klein,128,128,7,0.010232909263197892,16.987102882231962,0.0006023626075915608,0.3342054060493071
klein,128,128,8,0.012039634245261555,19.986349954674278,0.0018067249820636622,2.999397637392416
klein,128,128,9,0.015040930802580094,24.96864111820657,0.003001296557318539,1.6611806374041629
klein,128,128,10,0.015049633298225886,24.983087663667394,8.702495645792827e-06,0.0028995787252586373
klein,128,128,11,0.017450018392235343,28.967837992253017,0.002400385094009456,275.82720999922697
klein,128,128,12,0.019261093311212535,31.974306161255534,0.0018110749189771923,0.754493486689706
klein,128,128,13,0.02164698007043811,35.934988583221426,0.002385886759225575,1.3173871131587471
klein,128,128,14,0.02224934267802969,36.93493838482555,0.0006023626075915799,0.25246906847628353
klein,128,128,15,0.024056067660093373,39.934185457267894,0.001806724982063683,2.999397637392355
klein,128,128,16,0.024671477458186323,40.955794198834276,0.0006154097980929502,0.3406217350191366
klein,128,128,17,0.02706606671305772,44.93092316626104,0.0023945892548713973,3.8910483100721183
klein,128,128,18,0.029444715222117612,48.87958975801782,0.002378648509059892,0.9933430145570575
klein,128,128,19,0.03127752672604438,51.922141663849196,0.001832811503926765,0.7705264131904647
klein,128,128,20,0.031853802811772816,52.87878663206419,0.0005762760857284388,0.31442190563174544
torus,128,128,0,9.337818265473495e-17,1.5501210407646267e-13,,
torus,128,128,1,0.0024090875896553066,3.9991968740465413,0.0024090875896552134,
torus,128,128,2,0.0048181751793105266,7.998393748092939,0.00240908758965522,1.0000000000000027
torus,128,128,3,0.009630546655606321,15.987153080627857,0.004812371476295795,1.9975909124103388
torus,128,128,4,0.012039634245261537,19.98634995467425,0.002409087589655216,0.5006029982351969
torus,128,128,5,0.019261093311212542,31.974306161255548,0.007221459065951005,2.9975909124103395
torus,128,128,6,0.021646980070438162,35.93498858322151,0.00238588675922562,0.33038846269655053
torus,128,128,7,0.024056067660093345,39.93418545726785,0.002409087589655183,1.0097241959786445
torus,128,128,8,0.03127752672604438,51.922141663849196,0.007221459065951032,2.997590912410392
