step,total_info,golden_frac,entropy,twist_corr,patterns
621,17216.59516977183,0.14349365234375,9.249167840798165,-0.09976196320564826,79
641,17112.558231063187,0.1427001953125,9.245433888681408,-0.09576051354125922,81
661,16993.296470518566,0.142059326171875,9.242442857416798,-0.07877640651540649,83
681,16910.808272210495,0.140899658203125,9.240602150230767,-0.09159872924949676,79
701,16736.22826496385,0.1400146484375,9.234904484089885,-0.09167108642839213,86
721,16628.96405752243,0.13897705078125,9.232656208990345,-0.07824502189163339,96
741,16528.820142816065,0.1383056640625,9.23029367538388,-0.06880551487848141,100
761,16462.55931356523,0.137908935546875,9.227047940302459,-0.09284176187731633,86
781,16407.953783506287,0.137603759765625,9.226162563791485,-0.09311420042509112,92
801,16348.220904732847,0.137420654296875,9.22507506656619,-0.10994730205407649,98
821,16302.030624080133,0.136993408203125,9.223407105923986,-0.09983224737328464,102
841,16256.788744831572,0.13653564453125,9.222192318694935,-0.09327232619222797,97
861,16158.335257236018,0.136138916015625,9.21935866772336,-0.1116924137388545,100
881,16113.50328367974,0.1356201171875,9.219409023865236,-0.10106843195696244,105
901,16082.645662896524,0.135223388671875,9.216493954988126,-0.11056894929654273,95
921,16064.675757050607,0.1348876953125,9.216698257011169,-0.11014395267978135,111
941,16023.440846620839,0.134429931640625,9.21562067121981,-0.13922195333934823,100
961,15989.327195596623,0.13446044921875,9.214186732817097,-0.1226465697610794,109
981,15942.637117579197,0.1341552734375,9.21347049570064,-0.12545963165670818,102
1001,15957.54198336998,0.133880615234375,9.21477127460364,-0.11779203462773694,99
1021,15881.900443494356,0.133544921875,9.211441269139748,-0.1245512366637762,110
1041,15828.919185167895,0.133544921875,9.209061599946104,-0.13580401207694348,105
1061,15808.943640396912,0.13323974609375,9.209326552542258,-0.1346534430138066,114
1081,15755.223670289814,0.132720947265625,9.207915240086997,-0.13908275126967634,116
1101,15753.868607484555,0.132415771484375,9.206952534793658,-0.14779625316320533,118
1121,15713.970594927545,0.13232421875,9.20555890334477,-0.1300697052033338,112
1141,15628.890298214883,0.131805419921875,9.203722101105459,-0.11501320478484367,120
1161,15588.913337332164,0.1317138671875,9.203500170054523,-0.1126566354643356,111
1181,15579.354626834212,0.131622314453125,9.20163079755897,-0.12070577405888741,120
1201,15531.623514841864,0.13140869140625,9.201253674650236,-0.10554289685902157,123
1221,15516.077404596504,0.13116455078125,9.199992720049464,-0.10942880758745906,114
1241,15487.060467563164,0.131072998046875,9.198584374374764,-0.10403971080154177,127
1261,15454.774343044097,0.130889892578125,9.196733264123246,-0.10803393317786725,128
1281,15404.920805902853,0.130615234375,9.195822541232957,-0.10569380114781254,136
1301,15378.546711837185,0.130096435546875,9.195097241257772,-0.10401044096275619,140
1321,15333.667428663815,0.129791259765625,9.19394124737842,-0.11089285229976183,135
1341,15296.447959021072,0.129608154296875,9.192366903670685,-0.10234130989233658,146
1361,15274.482891161502,0.1292724609375,9.192974587812813,-0.11159490785874912,135
1381,15233.821027973463,0.129150390625,9.191067090780507,-0.10304294019148014,147
1401,15215.804066561206,0.12908935546875,9.190166280620435,-0.09807918669131883,146
1421,15205.73869301799,0.128753662109375,9.190741002220328,-0.09402817497873361,147
1441,15182.618528163955,0.128570556640625,9.19153665188565,-0.08601899207108345,148
1461,15170.340734948775,0.1285400390625,9.19090723422122,-0.09304503849058288,152
1481,15165.115004182078,0.128570556640625,9.189196380034335,-0.10560601369599999,155
1501,15126.130592091107,0.128143310546875,9.189258180477461,-0.10555467420175188,155
1521,15049.00723223266,0.127655029296875,9.18621014198514,-0.08558615248980418,160
1541,15006.804851900706,0.12762451171875,9.184210030408344,-0.09237983535045927,163
1561,14997.068505329982,0.127685546875,9.183651573570149,-0.09401132767283438,163
1581,14944.520714240436,0.127197265625,9.182757283108502,-0.07928587793080683,160
1601,14931.211386252606,0.127044677734375,9.181583742195542,-0.08023855842949049,163
1621,14896.361142683583,0.127044677734375,9.180291196865976,-0.07862618810558045,169
1641,14891.078878976465,0.12701416015625,9.180711268729324,-0.09245736682181481,164
