model,template,theta_arcmin,gamma_t,noise
B,D = 2 (Phase 1.3),103.67963184165725,-0.00010430145249186909,4.4796439190942135e-05
B,D = 2 (Phase 1.3),113.51485383454174,-8.701053933391609e-05,4.281183765998533e-05
B,D = 2 (Phase 1.3),123.35007582742621,-7.368827797212004e-05,4.1069603181025136e-05
B,D = 2 (Phase 1.3),133.1852978203107,-6.320692707741584e-05,3.952410769447729e-05
B,D = phi (IST),5.327411912812428,0.0,0.00019762053847238644
B,D = phi (IST),15.16263390569691,3.580753182488421e-05,0.0001171393722832149
B,D = phi (IST),24.997855898581392,4.319207155291968e-06,9.123024411691155e-05
B,D = phi (IST),34.83307789146588,-1.4448869910894913e-05,7.728483634387854e-05
B,D = phi (IST),44.66829988435036,-3.5658029485169585e-05,6.824809060336162e-05
B,D = phi (IST),54.503521877234846,-6.661115204695877e-05,6.178427202955347e-05
B,D = phi (IST),64.33874387011932,-0.0001313481447426218,5.686616335437575e-05
B,D = phi (IST),74.1739658630038,-0.00016852798624568925,5.296201098335103e-05
B,D = phi (IST),84.00918785588829,-0.00013137764086603275,4.9765322628214524e-05
B,D = phi (IST),93.84440984877277,-0.00010528299150273689,4.708537279892313e-05
B,D = phi (IST),103.67963184165725,-8.625576649213431e-05,4.4796439190942135e-05
B,D = phi (IST),113.51485383454174,-7.195643573349092e-05,4.281183765998533e-05
B,D = phi (IST),123.35007582742621,-6.0939121614496794e-05,4.1069603181025136e-05
B,D = phi (IST),133.1852978203107,-5.227119864989372e-05,3.952410769447729e-05
B,D = 1/0.600 (Phase 4),5.327411912812428,0.0,0.00019762053847238644
B,D = 1/0.600 (Phase 4),15.16263390569691,3.686206017820777e-05,0.0001171393722832149
B,D = 1/0.600 (Phase 4),24.997855898581392,4.44640738879058e-06,9.123024411691155e-05
B,D = 1/0.600 (Phase 4),34.83307789146588,-1.4874387734045507e-05,7.728483634387854e-05
B,D = 1/0.600 (Phase 4),44.66829988435036,-3.6708155009030014e-05,6.824809060336162e-05
B,D = 1/0.600 (Phase 4),54.503521877234846,-6.857284404026851e-05,6.178427202955347e-05
B,D = 1/0.600 (Phase 4),64.33874387011932,-0.0001352163349173849,5.686616335437575e-05
B,D = 1/0.600 (Phase 4),74.1739658630038,-0.0001734911191612366,5.296201098335103e-05
B,D = 1/0.600 (Phase 4),84.00918785588829,-0.00013524669969878104,4.9765322628214524e-05
B,D = 1/0.600 (Phase 4),93.84440984877277,-0.00010838356543241492,4.708537279892313e-05
B,D = 1/0.600 (Phase 4),103.67963184165725,-8.879599048323314e-05,4.4796439190942135e-05
B,D = 1/0.600 (Phase 4),113.51485383454174,-7.407554581502782e-05,4.281183765998533e-05
B,D = 1/0.600 (Phase 4),123.35007582742621,-6.273377285947473e-05,4.1069603181025136e-05
B,D = 1/0.600 (Phase 4),133.1852978203107,-5.38105804008641e-05,3.952410769447729e-05
